document_id,file_name,file_type,authority,document_type,instrument_kind,title,primary_issue_type,scope,source_priority,page_count,sha256,source_url,extraction_status,processing_status,human_review_required,local_file_path
part-ii-e68713a9,Part II.pdf,pdf,NSE,UNKNOWN,UNKNOWN,Issue Details,PUBLIC_ISSUE,COMPANY,P2,2,e68713a9730accb50df737745772caa8aefb8fe1a2907974ec0d53aec84d14df,,NOT_STARTED,PENDING_EXTRACTION,True,originals/FPO_Checklist_extracted/FPO_Checklist/FPO_Final Listing_Checklist/Part II.pdf
t-2-fpo-abe9b620,T+2 FPO.pdf,pdf,NSE,UNKNOWN,UNKNOWN,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,FPO,COMPANY,P2,2,abe9b620ced680725a51215c7f7c24948d8af5d8fc006306f1bb5cbfa00923f6,,NOT_STARTED,PENDING_EXTRACTION,True,originals/FPO_Checklist_extracted/FPO_Checklist/FPO_Final Listing_Checklist/T+2 FPO.pdf
t-3-fpo-if-nse-is-not-designated-stock-exchange-6e2c4256,T+3 FPO if NSE is not Designated Stock Exchange.pdf,pdf,NSE,UNKNOWN,UNKNOWN,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,FPO,COMPANY,P2,1,6e2c4256ccf073ed7c628b06b9f3f80812b728b13535a93c91bd674ab61d98aa,,NOT_STARTED,PENDING_EXTRACTION,True,originals/FPO_Checklist_extracted/FPO_Checklist/FPO_Final Listing_Checklist/T+3 FPO if NSE is not Designated Stock Exchange.pdf
t-3-fpo-cccb7af1,T+3 FPO.pdf,pdf,NSE,UNKNOWN,UNKNOWN,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,FPO,COMPANY,P2,3,cccb7af15d31ebc0e7e61dd0c7d792bc4638eea9589253842d83ce8f47d36d06,,NOT_STARTED,PENDING_EXTRACTION,True,originals/FPO_Checklist_extracted/FPO_Checklist/FPO_Final Listing_Checklist/T+3 FPO.pdf
t-4-fpo-c058fc65,T+4 FPO.pdf,pdf,NSE,UNKNOWN,UNKNOWN,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,FPO,COMPANY,P2,4,c058fc65cca6e50b8d4ca3b417a9623a8bb465f2279280efbd2b8d08ea261d19,,NOT_STARTED,PENDING_EXTRACTION,True,originals/FPO_Checklist_extracted/FPO_Checklist/FPO_Final Listing_Checklist/T+4 FPO.pdf
t-5-fpo-636f879e,T+5 FPO.pdf,pdf,NSE,UNKNOWN,UNKNOWN,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,FPO,COMPANY,P2,1,636f879e98cdacf66586637c228027f8ccd27e97d60d8d672f6284fc73416fd2,,NOT_STARTED,PENDING_EXTRACTION,True,originals/FPO_Checklist_extracted/FPO_Checklist/FPO_Final Listing_Checklist/T+5 FPO.pdf
fpo-inprinciple-checklist-revised-21d7cd1a,FPO_Inprinciple_Checklist_Revised.pdf,pdf,NSE,CHECKLIST,CHECKLIST,Non-Confidential,FPO,COMPANY,P2,7,21d7cd1abb5413798c2fd4cc7e956c37b91c8acc6dc5e70e908ebd47b3a90a30,,NOT_STARTED,PENDING_EXTRACTION,False,originals/FPO_Checklist_extracted/FPO_Checklist/FPO_Inprinciple_Checklist_Revised.pdf
final-listing-preferential-14b337d2,Final_Listing_Preferential.docx,docx,NSE,CHECKLIST,CHECKLIST,List of documents/details required for Final trading approval of shares,UNKNOWN,COMPANY,P2,1,14b337d20c407cbba18e741e763bace1b0188534f77a549fcf847ff3b37b440a,,NOT_STARTED,PENDING_EXTRACTION,True,originals/Final_Listing_Preferential.docx
final-listing-preferential-reit-7a090df0,Final_Listing_Preferential_REIT.doc,doc,UNKNOWN,CHECKLIST,CHECKLIST,List of documents/details required for Final trading approval of units,UNKNOWN,REIT_INVIT,P2,1,7a090df0a372c7524b1b231ee677bdd9f15fa62841076b53264292a54a6859b2,,NOT_STARTED,DEFERRED,True,originals/Final_Listing_Preferential_REIT.doc
inprinciple-approval-invits-0-1-e53ff681,InPrinciple_Approval_InvITs_0_1.docx,docx,UNKNOWN,CHECKLIST,CHECKLIST,Sr. No. | List of Documents/ details to be submitted | Yes/No/Not Applicable,PREFERENTIAL,REIT_INVIT,P2,1,e53ff681efa23e9e72710037723780fd4d6f6c96ffa3ea5141130793a5ffbbf7,,NOT_STARTED,DEFERRED,True,originals/InPrinciple_Approval_InvITs_0_1.docx
inprinciple-approval-reit-0-0-8b1d3e9b,InPrinciple_Approval_REIT_0_0.docx,docx,UNKNOWN,CHECKLIST,CHECKLIST,Sr. No. | List of Documents/ details to be submitted | Yes/No/Not Applicable,PREFERENTIAL,REIT_INVIT,P2,1,8b1d3e9b4ce6ce0a85ffe11f4c5e3b26bd9c3079d249dbf2eff3305b6e69aa40,,NOT_STARTED,DEFERRED,True,originals/InPrinciple_Approval_REIT_0_0.docx
post-allotment-sweat-equity-0-0-85b03e42,Post Allotment ( Sweat Equity )_0_0.docx,docx,NSE,CHECKLIST,CHECKLIST,List of documents/details required for listing of shares/ securities issued pursuant to Sweat Equity Shares,SWEAT_EQUITY,COMPANY,P2,1,85b03e429cf18ed6f5fc39c98a58777971760e36276186f9500498d757bbf102,,NOT_STARTED,PENDING_EXTRACTION,False,originals/Post Allotment ( Sweat Equity )_0_0.docx
post-allotment-invits-0-0-20260504153537-fe5d5a08,Post_allotment_InvITs_0_0_20260504153537.docx,docx,NSE,CHECKLIST,CHECKLIST,List of documents/details required for listing of Units/ securities allotted on preferential basis,UNKNOWN,REIT_INVIT,P2,1,fe5d5a081c0ad52d0c00cd1a6958246d2ba6c090c1818a3b7ad79e5f3a7fb9a5,,NOT_STARTED,DEFERRED,True,originals/Post_allotment_InvITs_0_0_20260504153537.docx
post-allotment-rights-0-dd3e7518,Post_allotment_Rights_0.docx,docx,NSE,CHECKLIST,CHECKLIST,Sr. No. | Documents to be submitted | Yes/No/Not Applicable,RIGHTS,COMPANY,P2,1,dd3e7518d9f112cf02e01b8cb1dae807f1bbfb420cd7a3b63c0ce816d955036e,,NOT_STARTED,PENDING_EXTRACTION,False,originals/Post_allotment_Rights_0.docx
post-allotment-pref-reit-0-20260504153658-dde2a535,Post_allotment__Pref_REIT_0_20260504153658.docx,docx,NSE,CHECKLIST,CHECKLIST,List of documents/details required for listing of Units/ securities allotted on preferential basis,UNKNOWN,REIT_INVIT,P2,1,dde2a535531e6e74b1f04f06cd047d4998a164fc8f4adf628bb027a2c2097b32,,NOT_STARTED,DEFERRED,True,originals/Post_allotment__Pref_REIT_0_20260504153658.docx
pre-allotment-sweat-equity-4226094c,Pre-allotment_(Sweat Equity).docx,docx,NSE,CHECKLIST,CHECKLIST,Sr. No. | List of documents/ details to be submitted | Yes/No/Not Applicable,SWEAT_EQUITY,COMPANY,P2,1,4226094ca7af070f1fda75242459560fc3eb4291c83a9599807f80eb79102cda,,NOT_STARTED,PENDING_EXTRACTION,False,originals/Pre-allotment_(Sweat Equity).docx
checklist-preferential-issue-pre-ffe507ab,Checklist_Preferential_issue_Pre.docx,docx,UNKNOWN,CHECKLIST,CHECKLIST,Sr. No. | List of Documents/ details to be submitted | Yes/No/Not Applicable,PREFERENTIAL,COMPANY,P2,1,ffe507ab14abd6afe22390a0eb4c36dcdec0c32546e6e28a1cbaa57ca0cda291,,NOT_STARTED,PENDING_EXTRACTION,True,originals/Preferential_Pre_Allotment_20260616122325_extracted/Preferential_Pre_Allotment/Preferential_Pre_Allotment_/Checklist_Preferential_issue_Pre.docx
extract-of-icdr-189995d8,Extract of ICDR.pdf,pdf,UNKNOWN,UNKNOWN,UNKNOWN,CHAPTER V  PREFERENTIAL ISSUE,UNKNOWN,COMPANY,P3,21,189995d831638b9fe6d2bb0beadf79ca48b18375ccc49344623c77ba5506b7a3,,NOT_STARTED,PENDING_EXTRACTION,True,originals/Preferential_Pre_Allotment_20260616122325_extracted/Preferential_Pre_Allotment/Preferential_Pre_Allotment_/Extract of ICDR.pdf
points-to-remember-28-1-6be45481,Points to remember_28(1).docx,docx,UNKNOWN,UNKNOWN,UNKNOWN,Points to be Remembered,PREFERENTIAL,COMPANY,P3,1,6be45481161341e460fd5374938c6aa5290db6e32de5487e8549e1e26e3fb3e1,,NOT_STARTED,PENDING_EXTRACTION,True,originals/Preferential_Pre_Allotment_20260616122325_extracted/Preferential_Pre_Allotment/Preferential_Pre_Allotment_/Points to remember_28(1).docx
preferential-issue-faqs-0d8e781e,Preferential Issue_FAQs.docx,docx,NSE,UNKNOWN,UNKNOWN,FREQUENTLY ASKED QUESTIONS,PREFERENTIAL,COMPANY,P2,1,0d8e781e406e277233e15effd04ee5644ff82ae92f844e5d46c599760b0d8251,,NOT_STARTED,PENDING_EXTRACTION,True,originals/Preferential_Pre_Allotment_20260616122325_extracted/Preferential_Pre_Allotment/Preferential_Pre_Allotment_/Preferential Issue_FAQs.docx
qip-post-allotment-0-0-d035add2,QIP_Post_Allotment_0_0.docx,docx,NSE,CHECKLIST,CHECKLIST,of shares allotted under QIP,QIP,COMPANY,P2,1,d035add2de2f8302dd803838731f2617030d469dbcef92081f6001294fba290e,,NOT_STARTED,PENDING_EXTRACTION,False,originals/QIP_Post_Allotment_0_0.docx
qip-post-allotment-invits-0-20260504154107-88791754,QIP_Post_Allotment_InvITs_0_20260504154107.docx,docx,NSE,CHECKLIST,CHECKLIST,of units allotted under QIP,UNKNOWN,REIT_INVIT,P2,1,88791754c57ee158a85d84dd91a84a15ecf9bb3c084a9d02470367412fa218f5,,NOT_STARTED,DEFERRED,True,originals/QIP_Post_Allotment_InvITs_0_20260504154107.docx
qip-post-allotment-reits-0-20260504154256-0eb97980,QIP_Post_Allotment_REITS_0_20260504154256.docx,docx,NSE,CHECKLIST,CHECKLIST,of shares allotted under QIP,UNKNOWN,REIT_INVIT,P2,1,0eb9798042c84e5871f1c6a88664a44984fae8edd3ebb2e6e06911518e4b0097,,NOT_STARTED,DEFERRED,True,originals/QIP_Post_Allotment_REITS_0_20260504154256.docx
in-principle-approval-rights-c26498ff,In_principle_approval_-_Rights.docx,docx,NSE,CHECKLIST,CHECKLIST,Sr. No. | Documents to be submitted | Yes/No/Not Applicable,RIGHTS,REIT_INVIT,P2,1,c26498ffdf85d6c57cbd0a61accb39818131590c924b0e8acf82cfcaca48fbd0,,NOT_STARTED,DEFERRED,False,originals/Rights Issue Checklist - InvIT_0_0_extracted/Rights Issue Checklist - InvIT/In_principle_approval_-_Rights.docx
post-allotment-rights-22c13151,Post_allotment-Rights.docx,docx,UNKNOWN,CHECKLIST,CHECKLIST,Sr. No. | Documents to be submitted | Yes/No/Not Applicable,RIGHTS,REIT_INVIT,P2,1,22c13151b06592485283a5474cf8430d883370bdc090ac0ad1663a2ff88c1631,,NOT_STARTED,DEFERRED,True,originals/Rights Issue Checklist - InvIT_0_0_extracted/Rights Issue Checklist - InvIT/Post_allotment-Rights.docx
rights-entitlement-checklist-final-54a200b1,Rights_Entitlement_-_Checklist_-_Final.docx,docx,NSE,CHECKLIST,CHECKLIST,Checklist of Documents/ details to be submitted for listing of Rights Entitlements issued under Rights Issue by already listed InvIT,RIGHTS,REIT_INVIT,P2,1,54a200b14ca4f5423704ab47190ab2fe515fb3a0092b56555dff8e91ddbbce15,,NOT_STARTED,DEFERRED,False,originals/Rights Issue Checklist - InvIT_0_0_extracted/Rights Issue Checklist - InvIT/Rights_Entitlement_-_Checklist_-_Final.docx
trading-approval-5ee5125b,Trading_Approval.docx,docx,UNKNOWN,CHECKLIST,CHECKLIST,Checklist of Documents/ details to be submitted for Trading approval for listing of units issued under Rights Issues by already listed InvIT,UNKNOWN,REIT_INVIT,P2,1,5ee5125b71f577a286591dafcb6a799ddb72d5be43f8cef53ada56a00d6b7943,,NOT_STARTED,DEFERRED,True,originals/Rights Issue Checklist - InvIT_0_0_extracted/Rights Issue Checklist - InvIT/Trading_Approval.docx
rights-entitlement-checklist-e0bcaa00,Rights_Entitlement_Checklist.pdf,pdf,NSE,CHECKLIST,CHECKLIST,Checklist of Documents/ details to be submitted for listing of Rights Entitlements issued under,RIGHTS,COMPANY,P2,3,e0bcaa0095df8475dd80d4bc8c6c5c30e6a6e701539968cdabfe7b060026ba18,,NOT_STARTED,PENDING_EXTRACTION,False,originals/Rights_Entitlement_Checklist.pdf
sebi-depositories-participants-regulations-fb150ec0,SEBI Depositories & Participants Regulations.pdf,pdf,SEBI,REGULATION,REGULATIONS,Page 1 of 81,CONVERSION,COMPANY,P0,81,fb150ec0a09ebfa735e5c298c54ec0f0ac6a16db0f4428a619eac799774cac53,,NOT_STARTED,PENDING_EXTRACTION,False,originals/SEBI Depositories & Participants Regulations.pdf
sebi-icdr-regulations-db196f1f,SEBI ICDR Regulations.pdf,pdf,SEBI,REGULATION,REGULATIONS,THE GAZETTE OF INDIA,UNKNOWN,COMPANY,P0,475,db196f1f33dc5ee9346388a7241cd9416942ec8f8bc3826e74f9403b0ca0fcc6,,NOT_STARTED,PENDING_EXTRACTION,False,originals/SEBI ICDR Regulations.pdf
sebi-lodr-regulations-62626bd8,SEBI LODR Regulations.pdf,pdf,SEBI,REGULATION,REGULATIONS,SECURITIES AND EXCHANGE BOARD OF INDIA (LISTING OBLIGATIONS,UNKNOWN,COMPANY,P0,231,62626bd86a48184b7ef99bc3fc3dd38202559c227674a067aee577d98c687c8a,,NOT_STARTED,PENDING_EXTRACTION,True,originals/SEBI LODR Regulations.pdf
sebi-pit-regulations-3e146320,SEBI PIT Regulations.pdf,pdf,SEBI,REGULATION,REGULATIONS,SECURITIES AND EXCHANGE BOARD OF INDIA,UNKNOWN,COMPANY,P0,82,3e14632093a11d5ced286205c744c7bec68df9c261cb8dcd6017b477e285f4b1,,NOT_STARTED,PENDING_EXTRACTION,False,originals/SEBI PIT Regulations.pdf
sebi-sast-regulations-f3486698,SEBI SAST Regulations.pdf,pdf,SEBI,REGULATION,REGULATIONS,Page 1 of 79,UNKNOWN,COMPANY,P0,79,f34866984eed83113ed920a7d5194d72972a7c199fdbae7c958aff197f4fc29a,,NOT_STARTED,PENDING_EXTRACTION,False,originals/SEBI SAST Regulations.pdf
sebi-sbeb-sweat-equity-regulations-275c3965,SEBI SBEB & Sweat Equity Regulations.pdf,pdf,SEBI,REGULATION,REGULATIONS,Page 1 of 45,UNKNOWN,COMPANY,P0,45,275c396520a48747aff9a52d384ab86d58d5ea7dc64bdedd3bca4726ab9f21f8,,NOT_STARTED,PENDING_EXTRACTION,False,originals/SEBI SBEB & Sweat Equity Regulations.pdf
trading-approval-557b966e,Trading_Approval.docx,docx,NSE,UNKNOWN,UNKNOWN,Checklist of Documents/ details to be submitted for Trading approval for listing of securities issued under Rights Issues by already listed company,UNKNOWN,COMPANY,P2,1,557b966e9f9b6cc7c12025ef87dba5546129f05fbb58264ea7843fcb44615039,,NOT_STARTED,PENDING_EXTRACTION,True,originals/Trading_Approval.docx
trading-approval-fast-track-a025d50d,Trading_Approval_Fast_Track.docx,docx,NSE,UNKNOWN,UNKNOWN,Checklist of Documents/ details to be submitted for Trading approval for listing of securities issued under Rights Issues by already listed company,UNKNOWN,COMPANY,P2,1,a025d50dbb2306a43b6dc3a158da4b2646169626fa3f941da4399a63c470b874,,NOT_STARTED,PENDING_EXTRACTION,True,originals/Trading_Approval_Fast_Track.docx
trading-approval-invits-f28b7302,Trading_Approval_InvITs.docx,docx,NSE,UNKNOWN,UNKNOWN,List of documents/details required for Final trading approval of Units/ securities,PRIVATE_PLACEMENT,REIT_INVIT,P2,1,f28b7302138c59ecbfb29c9bdb446f5fea49719958f619e6eb53b70235efca7c,,NOT_STARTED,DEFERRED,True,originals/Trading_Approval_InvITs.docx
the-companies-management-and-administration-rule-55296434,the-companies-management-and-administration-rules-2014-.pdf,pdf,MCA,RULE,RULES,Printed on 5 Sep 2026 at 10:44 AM IST,SWEAT_EQUITY,COMPANY,P0,41,55296434c651dff6c805992bfd96ed085faf0ca14d74fbf38323b03395c62498,,NOT_STARTED,PENDING_EXTRACTION,False,originals/the-companies-management-and-administration-rules-2014-.pdf
the-companies-registration-offices-and-fees-rule-b0be2898,the-companies-registration-offices-and-fees-rules-2014.pdf,pdf,MCA,RULE,RULES,Printed on 5 Sep 2026 at 10:50 AM IST,GENERAL,COMPANY,P0,36,b0be2898fc93f58ae09e4a2f391f933f76865b19a6cb7400d009e15ed524a2c4,,NOT_STARTED,PENDING_EXTRACTION,False,originals/the-companies-registration-offices-and-fees-rules-2014.pdf
